id,neighborhood,price,latitude,longitude
39715332,Gateway - Green Valley Ranch,$33.00 ,39.77997,-104.80719
39726078,Gateway - Green Valley Ranch,$41.00 ,39.77043,-104.75712
39726290,Villa Park,$75.00 ,39.73175,-105.0349
39728078,Five Points,$200.00 ,39.76312,-104.98808
39731767,Sunnyside,$100.00 ,39.77159,-105.01731
39737465,University,$108.00 ,39.67091,-104.97005
39756961,Union Station,$86.00 ,39.75519,-105.00002
39768340,Hampden South,$123.00 ,39.62439,-104.8967
39775170,West Colfax,$500.00 ,39.74256,-105.05475
39775364,Five Points,$600.00 ,39.75343,-104.98355
39775405,West Colfax,$300.00 ,39.74173,-105.02803
39776122,CBD,$87.00 ,39.74396,-104.99022
39778680,Union Station,$200.00 ,39.75661,-105.001
39779883,Whittier,$75.00 ,39.7583,-104.96808
39780476,Lincoln Park,$90.00 ,39.72751,-104.99942
39791711,Belcaro,$725.00 ,39.70331,-104.95347
39795403,Union Station,$85.00 ,39.75582,-105.00134
39795523,North Capitol Hill,"$2,999.00 ",39.74456,-104.97697
39795840,Montbello,$199.00 ,39.77583,-104.8131
39797519,Union Station,$185.00 ,39.75584,-105.0002
