D_CLASS,D_CLASS_N
413,INDUSTRIAL-GRAIN ELEVATOR
295,COMMERCIAL-PARKING GARAGE
291,COMMERCIAL-PARKING GARAGE
101,RESIDENTIAL-CONDOMINIUM
298,COMMERCIAL-CONDOMINIUM
522,INDUSTRIAL-SHIPPING TERMINAL
10S,RESIDENTIAL CONDOMINIUM
421,INDUSTRIAL-DRY CLEANING
105,RESIDENTIAL-CONDOMINIUM
109,RESIDENTIAL-CONDOMINIUM
215,RESIDENTIAL-MULTI UNIT APTS
106,RESIDENTIAL-CONDOMINIUM
228,COMMERCIAL-HOTEL
116,SFR Grade X
060,VACANT LAND W/MINOR STRUCTURE
124,RESIDENTIAL-DUPLEX
271,COMMERCIAL-THEATER
174,RESIDENTIAL-4 TO 8 UNITS
324,COMMERCIAL-MEDICAL OFFICE
272,COMMERCIAL-THEATER
132,RESIDENTIAL-TRIPLEX
323,COMMERCIAL-MEDICAL OFFICE
199,RESIDENTIAL-ROWHOUSE
318,COMMERCIAL-CONDOMINIUM
196,RESIDENTIAL-ROWHOUSE
456,INDUSTRIAL-MEAT PACKING
164,RESIDENTIAL-4 TO 8 UNITS
273,COMMERCIAL-THEATER
28M,MISC IMPROVEMENTS W/MIXED USE
312,COMMERCIAL-FINANCIAL OFFICE
134,RESIDENTIAL-TRIPLEX
205,RESIDENTIAL-APARTMENT
125,RESIDENTIAL-DUPLEX
211,RESIDENTIAL-MULTI UNIT APTS
620,SPECIAL PURPOSE
307,COMMERCIAL-OFFICE
552,INDUSTRIAL-AUTO DEALER
457,INDUSTRIAL-MEAT PACKING
556,INDUSTRIAL-AUTO DEALER
462,INDUSTRIAL-FOOD PROCESSING
111,RESIDENTIAL
01M,VACANT LAND
162,RESIDENTIAL-4 TO 8 UNITS
47M,FACTORY W/MIXED USE
154,RESIDENTIAL-4 TO 8 UNITS
192,RESIDENTIAL-ROWHOUSE
554,INDUSTRIAL-AUTO DEALER
336,INDUSTRIAL-BOWLING ALLEY
172,RESIDENTIAL-4 TO 8 UNITS
102,RESIDENTIAL-CONDOMINIUM
575,INDUSTRIAL-AUTO SERVICE GARAGE
287,COMMERCIAL-MISC IMPROVEMENTS
501,COMMERCIAL
